Dynasty ID;Dynasty name;Name ought to be;Should be culture early;Should be culture late;Has characters in vanilla(x) doesn't(-);Redundant(%), Generic(/), Name dosn't make any sense(?);Notes;Early family(founded 7-950);cultures template;;
;;;;;;;;;;;
#High German;;;;;;;;;;;
;;;;;;;;;;;
51;von Habsburg;;swabian;german;x;;;;low_saxon;;
53;von Silesia-Glogau;von Schlesien-Glogau;bavarian;german;-0;/;;;thuringan;;
55;Wittelsbach;;bavarian;german;-0;%;217  makes this redundant;;;;
56;von Kärnten;;bavarian;german;-0;%;12404 makes this redundant;;;;
87;von Neuenburg;;swabian;german;x;;;;;;
111;von Werle;von Werl;franconian;german;x;;;;;#Lords and counts of `Werl` not `Werle`
113;von Wittenberg;;thuringan;german;-0;/;;;;;
179;von Berg-Schelklingen;;franconian;german;x;;;;;;
207;von Plain;;bavarian;german;x;;;;;;
210;von Formbach;;bavarian;german;x;;;;;;
211;von Wasserburg;;bavarian;german;x;;;;;;
213;von Eberstein;;franconian;german;x;;;;;;
214;von Heinsberg;;franconian;german;-0;;;;;;
215;von Wettin;;thuringan;german;-0;%;;;;;
216;von Weimar;;thuringan;german;x;;;;;;
217;von Wittelsbach;;bavarian;german;x;;;;;;
218;von Andechs;;bavarian;german;x;;;;;;
219;von Sulzbach;;bavarian;german;x;;;;;;
227;von Thüringen;;thuringan;german;x;;;;;#Princes of Thüringen;
228;von Bogen;;bavarian;german;x;;;;;;
229;von Meissen;;thuringan;german;x;;;;;#got one charcter in vanilla, and she ought to be of 528.;
230;von Österreich;;bavarian;german;-0;/;;;;;
237;von Genf;;swabian;german;-0;%;100239 makes this redundant.;;;;
243;von Veldenz;;franconian;german;x;;;;;;
244;von Landsberg;;franconian;german;-0;;;;;;
245;von Franken;;franconian;german;-0;/;;;;;
247;von Babenberg;;bavarian;german;x;;;;;;
248;von Berg;;franconian;german;x;;;;;;
251;von Hohenstauf;;swabian;german;-0;%;529 makes this redundant;;;;
252;von Saarbrucken;von Saarbrücken;franconian;german;x;;;;;;
254;von Henneberg;;franconian;german;-0;%;7165 and  7290 makes this redundant;;;;
