#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_iberia;España;España;España;;España;;;;;;;;;x
e_iberia_adj;Española;Española;Española;;Española;;;;;;;;;x
e_scandinavia;Nordmannia;Nordmannia;Nordmannia;;Nordmannia;;;;;;;;;x
e_scandinavia_adj;Nordmannian;Nordmannian;Nordmannian;;Nordmannian;;;;;;;;;x
e_scandinavia_adj_norse;Norðr;Norðr;Norðr;;Norðr;;;;;;;;;x
e_scandinavia_adj_danish;Norðr;Norðr;Norðr;;Norðr;;;;;;;;;x
e_scandinavia_adj_icelandic;Norðr;Norðr;Norðr;;Norðr;;;;;;;;;x
e_scandinavia_adj_gothic;Norðr;Norðr;Norðr;;Norðr;;;;;;;;;x
e_scandinavia_adj_swedish;Norðr;Norðr;Norðr;;Norðr;;;;;;;;;x
e_scandinavia_adj_norwegian;Norðr;Norðr;Norðr;;Norðr;;;;;;;;;x
e_hungary;Etelköz;Etelköz;Etelköz;;Etelköz;;;;;;;;;x
e_hungary_adj;Etelközian;Etelközian;Etelközian;;Etelközian;;;;;;;;;x
e_poland;Polska-Lietuva;Polska-Lietuva;Polska-Lietuva;;Polska-Lietuva;;;;;;;;;x
e_poland_adj;Polski-Lietuvo;Polski-Lietuvos;Polski-Lietuvos;;Polski-Lietuvos;;;;;;;;;x
e_france;France;France;France;;France;;;;;;;;;x
e_france_adj;Français;Français;Français;;Français;;;;;;;;;x
e_byzantium;Basileia Rhõmaiõn;Basileia Rhõmaiõn;Basileia Rhõmaiõn;;Basileia Rhõmaiõn;;;;;;;;;x
e_italy;Italia;Italia;Italia;;Italia;;;;;;;;;x
e_italy_adj;Italiano;Italiano;Italiano;;Italiano;;;;;;;;;x
e_africa;Africa;Africa;Africa;;Africa;;;;;;;;;x
e_africa_adj;African;African;African;;African;;;;;;;;;x
e_hre;Heiliges Römisches Reich;Heiliges Römisches Reich;Heiliges Römisches Reich;;Heiliges Römisches Reich;;;;;;;;;x
e_hre_adj;Kaiserliche;Kaiserliche;Kaiserliche;;Kaiserliche;;;;;;;;;x
k_sweden;Sviaríki;Sviaríki;Sviaríki;;Sviaríki;;;;;;;;;x
k_sweden_adj;Svenskr;Svenskr;Svenskr;;Svenskr;;;;;;;;;x
k_denmark;Danmark;Danmark;Danmark;;Danmark;;;;;;;;;x
k_denmark_adj;Danskr;Danskr;Danskr;;Danskr;;;;;;;;;x
k_norway;Norégr;Norégr;Norégr;;Norégr;;;;;;;;;x
k_norway_adj;Norskr;Norskr;Norskr;;Norskr;;;;;;;;;x
k_brittany;Breizh;Breizh;Breizh;;Breizh;;;;;;;;;x
k_brittany_adj;Brezhoneg;Brezhoneg;Brezhoneg;;Brezhoneg;;;;;;;;;x
k_poland;Polska ;Polska ;Polska ;;Polska ;;;;;;;;;x
k_poland_adj;Polski;Polski;Polski;;Polski;;;;;;;;;x
k_lithuania;Lietuva;Lietuva;Lietuva;;Lietuva;;;;;;;;;x
k_lithuania_adj;Lietuvos;Lietuvos;Lietuvos;;Lietuvos;;;;;;;;;x
k_bohemia;Czechy;Czechy;Czechy;;Czechy;;;;;;;;;x
k_bohemia_adj;Ceský;Ceský;Ceský;;Ceský;;;;;;;;;x
k_hungary;Magyarország;Magyarország;Magyarország;;Magyarország;;;;;;;;;x
k_hungary_adj;Magyar;Magyar;Magyar;;Magyar;;;;;;;;;x
k_serbia;Srbija;Srbija;Srbija;;Srbija;;;;;;;;;x
k_serbia_adj;Srbi;Srbi;Srbi;;Srbi;;;;;;;;;x
k_croatia;Hrvatska;Hrvatska;Hrvatska;;Hrvatska;;;;;;;;;x
k_croatia_adj;Hrvatski;Hrvatski;Hrvatski;;Hrvatski;;;;;;;;;x
k_bulgaria;Balgariya ;Balgariya ;Balgariya ;;Balgariya ;;;;;;;;;x
k_bulgaria_adj;Bâlgarski;Bâlgarski;Bâlgarski;;Bâlgarski;;;;;;;;;x
k_saxony;Sachsen;Sachsen;Sachsen;;Sachsen;;;;;;;;;x
k_saxony_adj;Sächsische;Sächsische;Sächsische;;Sächsische;;;;;;;;;x
k_ireland;Éire;Éire;Éire;;Éire;;;;;;;;;x
k_ireland_adj;hÉireann;hÉireann;hÉireann;;hÉireann;;;;;;;;;x
k_armenia;Hayk;Hayk;Hayk;;Hayk;;;;;;;;;x
k_armeina_adj;Hayeren;Hayeren;Hayeren;;Hayeren;;;;;;;;;x
k_aragon;Aragón;Aragón;Aragón;;Aragón;;;;;;;;;x
k_aragon_adj;Aragonesa;Aragonesa;Aragonesa;;Aragonesa;;;;;;;;;x
k_burgundy;Bourgogne;Bourgogne;Bourgogne;;Bourgogne;;;;;;;;;x
k_burgundy_adj;Bourguigon;Bourguigon;Bourguigon;;Bourguigon;;;;;;;;;x
k_castille;Castilla;Castilla;Castilla;;Castilla;;;;;;;;;x
k_castille_adj;Castellana;Castellana;Castellana;;Castellana;;;;;;;;;x
k_leon;León;León;León;;León;;;;;;;;;x
k_leon_adj;Leonesa;Leonesa;Leonesa;;Leonesa;;;;;;;;;x
k_navarra;Navarra;Navarra;Navarra;;Navarra;;;;;;;;;x
k_navarra_adj;Navarra;Navarra;Navarra;;Navarra;;;;;;;;;x
k_andalusia;Al-Andalus;Al-Andalus;Al-Andalus;;Al-Andalus;;;;;;;;;x
k_andalusia_adj;Andalusí;Andalusí;Andalusí;;Andalusí;;;;;;;;;x
k_moldau;Moldova;Moldova;Moldova;;Moldova;;;;;;;;;x
k_moldau_adj;Moldovenesc;Moldovenesc;Moldovenesc;;Moldovenesc;;;;;;;;;x
k_taurica;Krimea;Krimea;Krimea;;Krimea;;;;;;;;;x
k_taurica_adj;Krimean;Krimean;Krimean;;Krimean;;;;;;;;;x
k_byzantium;Thessalonika;Thessalonika;Thessalonika;;Thessalonika;;;;;;;;;x
k_byzantium_adj;Hellenic;Hellenic;Hellenic;;Hellenic;;;;;;;;;x
k_anatolia;Iconium;Iconium;Iconium;;Iconium;;;;;;;;;x
k_anatolia_adj;Anatolian;Anatolian;Anatolian;;Anatolian;;;;;;;;;x
k_lotharingia;Lotharingia;Lotharingie;Lothringien;;Lotaringia;;;;;;;;;x
k_lotharingia_adj;Lotharingian;Lotharingienne;Lothringischen;;Lotaringol;;;;;;;;;x
k_pomerania;Wendland;Wendland;Wendland;;Wendland;;;;;;;;;x
k_pomerania_adj;Vendi;Vendi;Vendi;;Vendi;;;;;;;;;x
k_bavaria;Baiern;Baiern;Baiern;;Baiern;;;;;;;;;x
k_bavaria_adj;Bairische;Bairische;Bairische;;Bairische;;;;;;;;;x
k_schwaben;Schwaben;Schwaben;Schwaben;;Schwaben;;;;;;;;;x
k_schwaben_adj;Schwäbische;Schwäbische;Schwäbische;;Schwäbische;;;;;;;;;x
k_wallachia;Wallachia;Wallachia;Wallachia;;Wallachia;;;;;;;;;x
k_wallachia_adj;Wallachian;Wallachian;Wallachian;;Wallachian;;;;;;;;;x
k_franconia;Franken;Franken;Franken;;Franken;;;;;;;;;x
k_franconia_adj;Fränkische;Fränkische;Fränkische;;Fränkische;;;;;;;;;x
k_terra;Livonia;Livonia;Livonia;;Livonia;;;;;;;;;x
k_terra_adj;Livonian;Livonian;Livonian;;Livonian;;;;;;;;;x
k_nikaea;Nikaea;Nikaea;Nikaea;;Nikaea;;;;;;;;;x
k_nikaea_adj;Nikaeaian;Nikaeaian;Nikaeaian;;Nikaeaian;;;;;;;;;x
k_bosnia;Bosna;Bosna;Bosna;;Bosna;;;;;;;;;x
k_bosnia_adj;Bosanci;Bosanci;Bosanci;;Bosanci;;;;;;;;;x
k_epirus;Epirus;Epirus;Epirus;;Epirus;;;;;;;;;x
k_epirus_adj;Hellenic;Hellenic;Hellenic;;Hellenic;;;;;;;;;x
k_carinthia;Kärnten;Kärnten;Kärnten;;Kärnten;;;;;;;;;x
k_carinthia_adj;Kärntenische;Kärntenische;Kärntenische;;Kärntenische;;;;;;;;;x
k_upper_lorraine;Oberlothringen;Oberlothringen;Oberlothringen;;Oberlothringen;;;;;;;;;x
k_upper_lorraine_adj;Oberlothringische;Oberlothringische;Oberlothringische;;Oberlothringische;;;;;;;;;x
k_lower_lorraine;Niederlothringen;Niederlothringen;Niederlothringen;;Niederlothringen;;;;;;;;;x
k_lower_lorraine_adj;Niederlothringische;Niederlothringische;Niederlothringische;;Niederlothringische;;;;;;;;;x
k_cilician;Cilicia;Cilicia;Cilicia;;Cilicia;;;;;;;;;x
k_cilician_adj;Cilician;Cilician;Cilician;;Cilician;;;;;;;;;x
k_sardinia;Corsicae et Sardiniae;Corsicae et Sardiniae;Corsicae et Sardiniae;;Corsicae et Sardiniae;;;;;;;;;x
k_sardinia_adj;Sardinian;Sardinian;Sardinian;;Sardinian;;;;;;;;;x
k_italy;Lombardia;Lombardia;Lombardia;;Lombardia;;;;;;;;;x
k_italy_adj;Lombardian;Lombardian;Lombardian;;Lombardian;;;;;;;;;x
k_papal_state;Status Pontificius;Status Pontificius;Status Pontificius;;Status Pontificius;;;;;;;;;x
k_papal_state_adj;Sanctimonialis;Sanctimonialis;Sanctimonialis;;Sanctimonialis;;;;;;;;;x
k_sicily;Sicilia;Sicilia;Sicilia;;Sicilia;;;;;;;;;x
k_sicily_adj;Siciliani;Siciliani;Siciliani;;Siciliani;;;;;;;;;x
k_patrimoniumpetri;Patrimonium Sancti Petri;Patrimonium Sancti Petri;Patrimonium Sancti Petri;;Patrimonium Sancti Petri;;;;;;;;;x
k_patrimoniumpetri_adj;Sanctimonialis;Sanctimonialis;Sanctimonialis;;Sanctimonialis;;;;;;;;;x
k_venice;Venezia;Venezia;Venezia;;Venezia;;;;;;;;;x
k_venice_adj;Veneti;Veneti;Veneti;;Veneti;;;;;;;;;x
k_finland;Suomi;Suomi;Suomi;;Suomi;;;;;;;;;x
k_finland_adj;Suomalainen;Suomalainen;Suomalainen;;Suomalainen;;;;;;;;;x
k_portugal;Portugal;Portugal;Portugal;;Portugal;;;;;;;;;x
k_portugal_adj;Portuguesa;Portuguesa;Portuguesa;;Portuguesa;;;;;;;;;x
d_finland;Suomi;Suomi;Suomi;;Suomi;;;;;;;;;x
d_finland_adj;Suomalainen;Suomalainen;Suomalainen;;Suomalainen;;;;;;;;;x
d_lettigale;Gerzike;Gerzike;Gerzike;;Gerzike;;;;;;;;;x
d_lettigale_adj;Lettigallian;Lettigallian;Lettigallian;;Lettigallian;;;;;;;;;x
d_julich;Jülich;Jülich;Jülich;;Jülich;;;;;;;;;x
d_julich_adj;Jülichen;Jülichienne;Jülichen;;Jülichen;;;;;;;;;x
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
d_susa;Piemonte;Piemonte;Piemonte;;Piemonte;;;;;;;;;x
d_susa_adj;Piemontessian;Piemontessian;Piemontessian;;Piemontessian;;;;;;;;;x
d_sharukan;Sharukan;Sharukan;Sharukan;;Sharukan;;;;;;;;;x
d_sharukan_adj;Sharukanian;Sharukanian;Sharukanian;;Sharukanian;;;;;;;;;x
d_syrt;Syrt;Syrt;Syrt;;Syrt;;;;;;;;;x
d_syrt_adj;Syrtian;Syrtian;Syrtian;;Syrtian;;;;;;;;;x
d_mordva;Mordva;Mordva;Mordva;;Mordva;;;;;;;;;x
d_mordva_adj;Mordvan;Mordvan;Mordvan;;Mordvan;;;;;;;;;x
d_oldenburg;Niedersachsen;Niedersachsen;Niedersachsen;;Niedersachsen;;;;;;;;;x
d_oldenburg_adj;Niedersaxish;Niedersaxish;Niedersaxish;;Niedersaxish;;;;;;;;;x
d_nuremberg;Nürnberg;Nürnberg;Nürnberg;;Nürnberg;;;;;;;;;x
d_nuremberg_adj;Bavarian;Bavarian;Bavarian;;Bavarian;;;;;;;;;x
d_jylland;Jutäland;Jutäland;Jutäland;;Jutäland;;;;;;;;;x
d_jylland_adj;Jutälandish;Jutälandish;Jutälandish;;Jutälandish;;;;;;;;;x
d_lubeck;Lübeck;Lübeck;Lübeck;;Lübeck;;;;;;;;;x
