#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MARQUIS_OF;Marquisate of;Marquisate de;Marquisate of;;Marquisate of;;;;;;;;;x
MARQUIS;Marquis;Marquis;Marquis;;Marquis;;;;;;;;;x
MARQUIS_FOA;your most honourableness;;your most honourableness;;your most honourableness;;;;;;;;x;
DUKECOUNT;Count;Count;Count;;Count;;;;;;;;x;
DUKECOUNT_FOA;your right honourableness;;your right honourableness;;your right honourableness;;;;;;;;x;
DUKECOUNT_OF;County of;Comte de;County of;;County of;;;;;;;;;x
DUKEKING;King;Roi;King;;King;;;;;;;;;x
DUKEKING_FOA;your highness;your highness;your highness;;your highness;;;;;;;;x;
DUKEKING_OF;Kingdom of;Royaume de;Kingdom of;;Kingdom of;;;;;;;;;x
DUKEPRINCE;Prince;Prince;Prince;;Prince;;;;;;;;x;
DUKEPRINCE_FOA;your highness;your highness;your highness;;your highness;;;;;;;;x;
DUKEPRINCE_OF;Principality of;Principality of;Principality of;;Principality of;;;;;;;;x;
VOIVODE;Voivode;Voivode;Voivode;;Voivode;;;;;;;;x;
VOIVODE_OF;Voivodeship of;Voivodeship of;Voivodeship of;;Voivodeship of;;;;;;;;x;
PALATINE;Pfalzgraf;Pfalzgraf;Pfalzgraf;;Pfalzgraf;;;;;;;;x;
PALATINEA;Pfalzgräfin;Pfalzgräfin;Pfalzgräfin;;Pfalzgräfin;;;;;;;;x;
PALATINE_FOA;your right honourableness;your right honourableness;your right honourableness;;your right honourableness;;;;;;;;x;
PALATINE_OF;Pfalzgrafschaft bei Rhein;Pfalzgrafschaft bei Rhein;Pfalzgrafschaft bei Rhein;;Pfalzgrafschaft bei Rhein;;;;;;;;x;
ARCHDUKE;Archduke;Archduke;Archduke;;Archduke;;;;;;;;x;
ARCHDUKE_OF;Archduchy of;Archduchy of;Archduchy of;;Archduchy of;;;;;;;;x;
GRANDDUKE;Didžioji Kunigaikštyste;Didžioji Kunigaikštyste;Didžioji Kunigaikštyste;;Didžioji Kunigaikštyste;;;;;;;;x;
GRANDDUKE_FOA;your grace;your grace;your grace;;your grace;;;;;;;;x;
GRANDDUKE_OF;Grandduchy of;Grandduchy of;Grandduchy of;;Grandduchy of;;;;;;;;x;
DUKEDESPOT;Despot;Despot;Despot;;Despot;;;;;;;;x;
DUKEDESPOT_FOA;your lordship;your lordship;your lordship;;your lordship;;;;;;;;x;
DUKEDESPOT_OF;Despotate of;Despotate of;Despotate of;;Despotate of;;;;;;;;x;
title_dauphine_of_france;Le Dauphin;Le Dauphin;Le Dauphin;;Le Dauphin;;;;;;;;x;
title_dauphine_of_france_FOA;your grace;your grace;your grace;;your grace;;;;;;;;x;
KINGDUKE;Herzog;Herzog;Herzog;;Herzog;;;;;;;;;x
KINGDUKE_female;Herzogin;Herzogin;Herzogin;;Herzogin;;;;;;;;;x
KINGDUKE_FOA;your highness;your highness;your highness;;your highness;;;;;;;;x;
KINGDUKE_OF;Herzogtum;Herzogtum;Herzogtum;;Herzogtum;;;;;;;;;x
KINGCA;Herzog;Herzog;Herzog;;Herzog;;;;;;;;;x
KINGCA_FOA;your highness;your highness;your highness;;your highness;;;;;;;;x;
KINGCA_OF;Herzogtum of;Herzogtum of;Herzogtum of;;Herzogtum of;;;;;;;;;x
title_king_of_romans;King of Romans;King of Romans;King of Romans;;King of Romans;;;;;;;;;x
title_king_of_romans_FOA;your grace;your grace;your grace;;your grace;;;;;;;;;x
title_king_of_romans_desc;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent of the holy roman empire.;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent of the holy roman empire.;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent of the holy roman empire.;;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent of the holy roman empire.;;;;;;;;;x
title_dauphine_of_france_desc;Title bestowed upon the heir apparent of the kingdom of France. The usages began in 1350(the king had aquired the title in 1349 from Humbert II who had sold the title along with his feudal estates) when Charles the 5th assumed the title, and ended in 1791(french revoultion), it did however reapear breifly during the short reign of the restored Bourbon monarchy(1824-1830);Title bestowed upon the heir apparent of the kingdom of France. The usages began in 1350(the king had aquired the title in 1349 from Humbert II who had sold the title along with his feudal estates) when Charles the 5th assumed the title, and ended in 1791(french revoultion), it did however reapear breifly during the short reign of the restored Bourbon monarchy(1824-1830);Title bestowed upon the heir apparent of the kingdom of France. The usages began in 1350(the king had aquired the title in 1349 from Humbert II who had sold the title along with his feudal estates) when Charles the 5th assumed the title, and ended in 1791(french revoultion), it did however reapear breifly during the short reign of the restored Bourbon monarchy(1824-1830);;Title bestowed upon the heir apparent of the kingdom of France. The usages began in 1350(the king had aquired the title in 1349 from Humbert II who had sold the title along with his feudal estates) when Charles the 5th assumed the title, and ended in 1791(french revoultion), it did however reapear breifly during the short reign of the restored Bourbon monarchy(1824-1830);;;;;;;;;x
EF;Roi-Soleil;Roi-Soleil;Roi-Soleil;;Roi-Soleil;;;;;;;;;x
EF_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
EF_OF;Royaume de;Royaume de;Royaume de;;Royaume de;;;;;;;;;x
EN;Konung;Konung;Konung;;Konung;;;;;;;;;x
EN_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
EN_OF;Union of;Union of;Union of;;Union of;;;;;;;;;x
EP;Król;Król;Król;;Król;;;;;;;;;x
EP_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
EP_OF;Commonwealth of;Commonwealth of;Commonwealth of;;Commonwealth of;;;;;;;;;x
KINGEMPEROR;Megas Komnenos;Megas Komnenos;Megas Komnenos;;Megas Komnenos;;;;;;;;x;
KINGEMPEROR_FOA;your grace;your grace;your grace;;your grace;;;;;;;;x;
KINGEMPEROR_OF;Empire of;Empire of;Empire of;;Empire of;;;;;;;;x;
EI;Emperador;Emperador;Emperador;;Emperador;;;;;;;;;x
EI_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
EI_OF;Union of;Union of;Union of;;Union of;;;;;;;;;x
DM;Kniez;Kniez;Kniez;;Kniez;;;;;;;;;x
DM_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
DM_OF;Markrabstvi of;Markrabstvi of;Markrabstvi of;;Markrabstvi of;;;;;;;;;x
DB;Kniez;Kniez;Kniez;;Kniez;;;;;;;;;x
DB_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
DB_OF;Kniezectwi of;Kniezectwi of;Kniezectwi of;;Kniezectwi of;;;;;;;;;x
DESPOT;Despot;Despot;Despot;;Despot;;;;;;;;;x
DESPOT_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
DESPOT_OF;Despotate of;Despotate of;Despotate of;;Despotate of;;;;;;;;;x
FE;Erzbischof;Erzbischof;Erzbischof;;Erzbischof;;;;;;;;;x
FE_FOA;your holyness;your holyness;your holyness;;your holyness;;;;;;;;;x
FE_OF;Fürst-Erzbistum;Fürst-Erzbistum;Fürst-Erzbistum;;Fürst-Erzbistum;;;;;;;;;x
title_archchancellor_of_germany;Erzkanzler von Deutschland;Erzkanzler von Deutschland;Erzkanzler von Deutschland;;Erzkanzler von Deutschland;;;;;;;;;x
title_archchancellor_of_germany_FOA;your holyness;your holyness;your holyness;;your holyness;;;;;;;;;x
title_archchancellor_of_germany_desc;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Mainz was reserved the right to hold the Arch-Chancellery of Germany;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Mainz was reserved the right to hold the Arch-Chancellery of Germany;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Mainz was reserved the right to hold the Arch-Chancellery of Germany;;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Mainz was reserved the right to hold the Arch-Chancellery of Germany;;;;;;;;;x
title_archchancellor_of_burgundy;Erzkanzler von Burgund;Erzkanzler von Burgund;Erzkanzler von Burgund;;Erzkanzler von Burgund;;;;;;;;;x
title_archchancellor_of_burgundy_FOA;your holyness;your holyness;your holyness;;your holyness;;;;;;;;;x
title_archchancellor_of_burgundy_desc;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Trier was reserved the right to hold the Arch-Chancellery of Burgundy;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Trier was reserved the right to hold the Arch-Chancellery of Burgundy;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Trier was reserved the right to hold the Arch-Chancellery of Burgundy;;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Trier was reserved the right to hold the Arch-Chancellery of Burgundy;;;;;;;;;x
title_archchancellor_of_italy;Erzkanzler von Italien;Erzkanzler von Italien;Erzkanzler von Italien;;Erzkanzler von Italien;;;;;;;;;x
title_archchancellor_of_italy_FOA;your holyness;your holyness;your holyness;;your holyness;;;;;;;;;x
title_archchancellor_of_italy_desc;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Köln  was reserved the right to hold the Arch-Chancellery of Italy;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Köln  was reserved the right to hold the Arch-Chancellery of Italy;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Köln  was reserved the right to hold the Arch-Chancellery of Italy;;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Köln  was reserved the right to hold the Arch-Chancellery of Italy;;;;;;;;;x
title_archcupbearer_of_hre;Erzmundschenk;Erzmundschenk;Erzmundschenk;;Erzmundschenk;;;;;;;;;x
title_archcupbearer_of_hre_FOA;your serene highness;your highness;your highness;;your highness;;;;;;;;;x
title_archcupbearer_of_hre_desc;The title of Archcupbearer was reserved for the king of Bohemia, like most of the electors the king of Bohemia only assumed his responsibilties at the coronation of the emperor, where he unlike the other holders of high offices did'nt beare any of the  the imperial regalia. Due to not carrying any of the regalia, the office of Archcupbearer unlike the high offices didn't come with a augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Althann.;The title of Archcupbearer was reserved for the king of Bohemia, like most of the electors the king of Bohemia only assumed his responsibilties at the coronation of the emperor, where he unlike the other holders of high offices did'nt beare any of the  the imperial regalia. Due to not carrying any of the regalia, the office of Archcupbearer unlike the high offices didn't come with a augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Althann.;The title of Archcupbearer was reserved for the king of Bohemia, like most of the electors the king of Bohemia only assumed his responsibilties at the coronation of the emperor, where he unlike the other holders of high offices did'nt beare any of the  the imperial regalia. Due to not carrying any of the regalia, the office of Archcupbearer unlike the high offices didn't come with a augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Althann.;;The title of Archcupbearer was reserved for the king of Bohemia, like most of the electors the king of Bohemia only assumed his responsibilties at the coronation of the emperor, where he unlike the other holders of high offices did'nt beare any of the  the imperial regalia. Due to not carrying any of the regalia, the office of Archcupbearer unlike the high offices didn't come with a augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Althann.;;;;;;;;;x
title_archsteward_of_hre;Erztruchseß;Erztruchseß;Erztruchseß;;Erztruchseß;;;;;;;;;x
title_archsteward_of_hre_FOA;your serene highness;your highness;your highness;;your highness;;;;;;;;;x
title_archsteward_of_hre_desc;The title of Archsteward was given to either the Duke of Bavaria or the count Palatine, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the golden orb. The golden orb was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of Archsteward, it was to be portrayed as a golden orb on a red field. The daily duties of the office was delegated to the count of Waldburg.;The title of Archsteward was given to either the Duke of Bavaria or the count Palatine, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the golden orb. The golden orb was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of Archsteward, it was to be portrayed as a golden orb on a red field. The daily duties of the office was delegated to the count of Waldburg.;The title of Archsteward was given to either the Duke of Bavaria or the count Palatine, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the golden orb. The golden orb was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of Archsteward, it was to be portrayed as a golden orb on a red field. The daily duties of the office was delegated to the count of Waldburg.;;The title of Archsteward was given to either the Duke of Bavaria or the count Palatine, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the golden orb. The golden orb was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of Archsteward, it was to be portrayed as a golden orb on a red field. The daily duties of the office was delegated to the count of Waldburg.;;;;;;;;;x
title_archmarshal_of_hre;Erzmarschall;Erzmarschall;Erzmarschall;;Erzmarschall;;;;;;;;;x
title_archmarshal_of_hre_FOA;your serene highness;your highness;your highness;;your highness;;;;;;;;;x
title_archmarshal_of_hre_desc;The title of archmarshal was given to the elector of Saxony(firstly the duke of Saxony, and after the dissultion of the old duchy the honor was granted to the duke of Saxe-Wittenberg), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the sword. The sword was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archmarshal, it was to be portrayed as two crossed red swords on a black and white field. The daily duties of the office was delegated to the count of Pappenheim.;The title of archmarshal was given to the elector of Saxony(firstly the duke of Saxony, and after the dissultion of the old duchy the honor was granted to the duke of Saxe-Wittenberg), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the sword. The sword was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archmarshal, it was to be portrayed as two crossed red swords on a black and white field. The daily duties of the office was delegated to the count of Pappenheim.;The title of archmarshal was given to the elector of Saxony(firstly the duke of Saxony, and after the dissultion of the old duchy the honor was granted to the duke of Saxe-Wittenberg), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the sword. The sword was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archmarshal, it was to be portrayed as two crossed red swords on a black and white field. The daily duties of the office was delegated to the count of Pappenheim.;;The title of archmarshal was given to the elector of Saxony(firstly the duke of Saxony, and after the dissultion of the old duchy the honor was granted to the duke of Saxe-Wittenberg), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the sword. The sword was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archmarshal, it was to be portrayed as two crossed red swords on a black and white field. The daily duties of the office was delegated to the count of Pappenheim.;;;;;;;;;x
title_archchamberlain_of_hre;Erzkämmerer;Erzkämmerer;Erzkämmerer;;Erzkämmerer;;;;;;;;;x
title_archchamberlain_of_hre_FOA;your serene highness;your serene highness;your serene highness;;your serene highness;;;;;;;;;x
title_archchamberlain_of_hre_desc;The title of archchamberlin was given to the margrave of Brandenburg, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the scepter. The scepter was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archchamberlin, it was to be portrayed as a golden scepter on a blue field. The daily duties of the office was delegated to the count of Hohenzollern(you could say, it stayed in the family..).;The title of archchamberlin was given to the margrave of Brandenburg, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the scepter. The scepter was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archchamberlin, it was to be portrayed as a golden scepter on a blue field. The daily duties of the office was delegated to the count of Hohenzollern(you could say, it stayed in the family..).;The title of archchamberlin was given to the margrave of Brandenburg, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the scepter. The scepter was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archchamberlin, it was to be portrayed as a golden scepter on a blue field. The daily duties of the office was delegated to the count of Hohenzollern(you could say, it stayed in the family..).;;The title of archchamberlin was given to the margrave of Brandenburg, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the scepter. The scepter was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archchamberlin, it was to be portrayed as a golden scepter on a blue field. The daily duties of the office was delegated to the count of Hohenzollern(you could say, it stayed in the family..).;;;;;;;;;x
title_archtreasurer_of_hre;Erzschatzmeister;Erzschatzmeister;Erzschatzmeister;;Erzschatzmeister;;;;;;;;;x
title_archtreasurer_of_hre_FOA;your serene highness;your serene highness;your serene highness;;your serene highness;;;;;;;;;x
title_archtreasurer_of_hre_desc;The title of archtreasurer was given to the count Palatine in 1623 when the Duke of Bavaria replaced the count as Archsenechal(the title of archtreasurer had not exsisted before), when the Bavarian duke fell out of favour again the Count Palatine resumed the title of Archsenchal and the duke of Hanover made the new archtreasurer(when the duke of Bavaria got reconciled the count reasumed the dignity of Archtreasuer).  Like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the crown of Charlemagne(Charlemagne never wore it as it was made several hundered years after his death). The crown was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archtreasurer, it was to be portrayed as a golden cown on a red field. The daily duties of the office was delegated to the count of Sinzendorf.;The title of archtreasurer was given to the count Palatine in 1623 when the Duke of Bavaria replaced the count as Archsenechal(the title of archtreasurer had not exsisted before), when the Bavarian duke fell out of favour again the Count Palatine resumed the title of Archsenchal and the duke of Hanover made the new archtreasurer(when the duke of Bavaria got reconciled the count reasumed the dignity of Archtreasuer).  Like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the crown of Charlemagne(Charlemagne never wore it as it was made several hundered years after his death). The crown was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archtreasurer, it was to be portrayed as a golden cown on a red field. The daily duties of the office was delegated to the count of Sinzendorf.;The title of archtreasurer was given to the count Palatine in 1623 when the Duke of Bavaria replaced the count as Archsenechal(the title of archtreasurer had not exsisted before), when the Bavarian duke fell out of favour again the Count Palatine resumed the title of Archsenchal and the duke of Hanover made the new archtreasurer(when the duke of Bavaria got reconciled the count reasumed the dignity of Archtreasuer).  Like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the crown of Charlemagne(Charlemagne never wore it as it was made several hundered years after his death). The crown was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archtreasurer, it was to be portrayed as a golden cown on a red field. The daily duties of the office was delegated to the count of Sinzendorf.;;The title of archtreasurer was given to the count Palatine in 1623 when the Duke of Bavaria replaced the count as Archsenechal(the title of archtreasurer had not exsisted before), when the Bavarian duke fell out of favour again the Count Palatine resumed the title of Archsenchal and the duke of Hanover made the new archtreasurer(when the duke of Bavaria got reconciled the count reasumed the dignity of Archtreasuer).  Like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the crown of Charlemagne(Charlemagne never wore it as it was made several hundered years after his death). The crown was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archtreasurer, it was to be portrayed as a golden cown on a red field. The daily duties of the office was delegated to the count of Sinzendorf.;;;;;;;;;x
title_archbannerbearer_of_hre;Erzbannerträger;Erzbannerträger;Erzbannerträger;;Erzbannerträger;;;;;;;;;x
title_archbannerbearer_of_hre_FOA;your serene highness;your serene highness;your serene highness;;your serene highness;;;;;;;;;x
title_archbannerbearer_of_hre_desc;The title of archbannerbearer was given to the duke of Hanover when the Duke of Bavaria replaced the count Palatine as Archsenechal for the second time in 1718(the title of archbannerbearer had not exsisted before), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, but at this point there was nothing left to carry and the office didn't come with an augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Zeppelin-Aschhausen.;The title of archbannerbearer was given to the duke of Hanover when the Duke of Bavaria replaced the count Palatine as Archsenechal for the second time in 1718(the title of archbannerbearer had not exsisted before), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, but at this point there was nothing left to carry and the office didn't come with an augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Zeppelin-Aschhausen.;The title of archbannerbearer was given to the duke of Hanover when the Duke of Bavaria replaced the count Palatine as Archsenechal for the second time in 1718(the title of archbannerbearer had not exsisted before), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, but at this point there was nothing left to carry and the office didn't come with an augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Zeppelin-Aschhausen.;;The title of archbannerbearer was given to the duke of Hanover when the Duke of Bavaria replaced the count Palatine as Archsenechal for the second time in 1718(the title of archbannerbearer had not exsisted before), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, but at this point there was nothing left to carry and the office didn't come with an augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Zeppelin-Aschhausen.;;;;;;;;;x
title_erzherzog_of_osterreich;Erzherzog;Erzherzog;Erzherzog;;Erzherzog;;;;;;;;;x
title_erzherzog_of_osterreich_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
title_erzherzog_of_osterreich_desc;;;;;;;;;;;;;;x
title_archmaster_of_the_hunt_of_hre;Erzjägermeister;Erzjägermeister;Erzjägermeister;;Erzjägermeister;;;;;;;;;x
title_archmaster_of_the_hunt_of_hre_FOA;your serene highness;your serene highness;your serene highness;;your serene highness;;;;;;;;;x
title_archmaster_of_the_hunt_of_hre_desc;The title as arch huntmaster of the holy roman empire, was bestowed upon the margrave of Meissen.;;;;;;;;;;;;;x
ADA;Erzherzog;Erzherzog;Erzherzog;;Erzherzog;;;;;;;;;x
ADA_female;Erzherzogin;Erzherzogin;Erzherzogin;;Erzherzogin;;;;;;;;;x
ADA_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
ADA_OF;Erzherzogtum;Erzherzogtum;Erzherzogtum;;Erzherzogtum;;;;;;;;;x
KINGCA_female;Herzogin;Herzogin;Herzogin;;Herzogin;;;;;;;;;x
BURGRAVE;Burggraf;Burggraf;Burggraf;;Burggraf;;;;;;;;;x
BURGRAVINE;Burggräfin;Burggräfin;Burggräfin;;Burggräfin;;;;;;;;;x
BURGRAVE_FOA;your highness;your highness;your highness;;your highness;;;;;;;;;x
